id,transcricao,confidence,duracao_segundos,atendente_id,data,transcricao_limpo
1,"Bom dia, como posso ajudar?",0.9104683137055096,175,AT027,2024-11-19,bom dia como posso ajudar
5,"Bom dia, como posso ajudar?",0.7388140449398947,139,AT044,2024-11-12,bom dia como posso ajudar
7,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9737497466594468,108,AT013,2024-11-14,fico feliz em poder ajudar tenha um otimo dia
9,"Bom dia, como posso ajudar?",0.6647278994489824,72,AT019,2024-11-01,bom dia como posso ajudar
11,"Bom dia, como posso ajudar?",0.7898513962164421,102,AT003,2024-11-21,bom dia como posso ajudar
12,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9536372982561452,135,AT023,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
14,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6860677876398971,68,AT019,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
15,"Bom dia, como posso ajudar?",0.7088478215776929,467,AT044,2024-11-01,bom dia como posso ajudar
16,"Bom dia, como posso ajudar?",0.7057240716667678,457,AT034,2024-11-08,bom dia como posso ajudar
20,"Bom dia, como posso ajudar?",0.751650220032069,542,AT025,2024-11-21,bom dia como posso ajudar
21,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6892597368966623,408,AT025,2024-11-17,fico feliz em poder ajudar tenha um otimo dia
23,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.766987640758982,320,AT016,2024-11-08,fico feliz em poder ajudar tenha um otimo dia
25,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8352177728129249,226,AT033,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
28,"Bom dia, como posso ajudar?",0.866306930751712,459,AT028,2024-11-29,bom dia como posso ajudar
29,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8755440618620765,110,AT023,2024-11-17,fico feliz em poder ajudar tenha um otimo dia
31,"Bom dia, como posso ajudar?",0.87009157746751,321,AT020,2024-11-30,bom dia como posso ajudar
33,"Bom dia, como posso ajudar?",0.7136115935371105,100,AT037,2024-11-27,bom dia como posso ajudar
35,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8044444250355021,419,AT018,2024-11-07,fico feliz em poder ajudar tenha um otimo dia
37,"Bom dia, como posso ajudar?",0.9466990604645812,184,AT020,2024-11-29,bom dia como posso ajudar
38,"Bom dia, como posso ajudar?",0.7072689145446963,396,AT027,2024-11-26,bom dia como posso ajudar
41,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6240794387172027,512,AT038,2024-11-07,fico feliz em poder ajudar tenha um otimo dia
42,"Bom dia, como posso ajudar?",0.8404911729075698,132,AT044,2024-11-29,bom dia como posso ajudar
46,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8507317940712465,437,AT017,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
47,"Bom dia, como posso ajudar?",0.7314121357535963,465,AT032,2024-11-03,bom dia como posso ajudar
49,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8213260279082508,67,AT022,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
53,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8540815432929343,352,AT032,2024-11-02,fico feliz em poder ajudar tenha um otimo dia
55,"Bom dia, como posso ajudar?",0.7058071113686533,454,AT011,2024-11-21,bom dia como posso ajudar
56,"Bom dia, como posso ajudar?",0.6161806868082887,80,AT026,2024-11-27,bom dia como posso ajudar
57,"Bom dia, como posso ajudar?",0.7632062253477083,187,AT020,2024-11-06,bom dia como posso ajudar
58,"Bom dia, como posso ajudar?",0.6431828495622398,534,AT046,2024-11-28,bom dia como posso ajudar
63,"Bom dia, como posso ajudar?",0.7752616634014787,309,AT041,2024-11-01,bom dia como posso ajudar
64,"Bom dia, como posso ajudar?",0.6277611893379501,390,AT014,2024-11-05,bom dia como posso ajudar
66,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6292390629374405,36,AT037,2024-11-22,fico feliz em poder ajudar tenha um otimo dia
70,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.788413847549195,183,AT017,2024-11-05,fico feliz em poder ajudar tenha um otimo dia
71,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8653740638532386,263,AT049,2024-11-03,fico feliz em poder ajudar tenha um otimo dia
74,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9424505325695262,208,AT012,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
77,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6211109880140023,106,AT043,2024-11-04,fico feliz em poder ajudar tenha um otimo dia
78,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.826464610991998,278,AT048,2024-11-07,fico feliz em poder ajudar tenha um otimo dia
81,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6541966681460064,338,AT046,2024-11-27,fico feliz em poder ajudar tenha um otimo dia
84,"Bom dia, como posso ajudar?",0.9519023190644276,290,AT007,2024-11-08,bom dia como posso ajudar
89,"Bom dia, como posso ajudar?",0.8781505163305703,125,AT028,2024-11-08,bom dia como posso ajudar
90,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.76305681551334,376,AT002,2024-11-05,fico feliz em poder ajudar tenha um otimo dia
91,"Bom dia, como posso ajudar?",0.6619775373334298,172,AT009,2024-11-13,bom dia como posso ajudar
94,"Bom dia, como posso ajudar?",0.9214565861365064,250,AT045,2024-11-09,bom dia como posso ajudar
97,"Bom dia, como posso ajudar?",0.7358991081962286,176,AT042,2024-11-08,bom dia como posso ajudar
100,"Bom dia, como posso ajudar?",0.665919523812467,386,AT025,2024-11-14,bom dia como posso ajudar
102,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8106370514529884,455,AT022,2024-11-28,fico feliz em poder ajudar tenha um otimo dia
107,"Bom dia, como posso ajudar?",0.9175860568181052,169,AT033,2024-11-28,bom dia como posso ajudar
112,"Bom dia, como posso ajudar?",0.9798420070090734,376,AT022,2024-11-13,bom dia como posso ajudar
