id,transcricao,confidence,duracao_segundos,atendente_id,data,transcricao_limpo
2,Obrigado por aguardar. Já localizei sua solicitação.,0.941696860529069,508,AT034,2024-11-13,obrigado por aguardar ja localizei sua solicitacao
3,Seu protocolo é 123456. Alguma outra dúvida?,0.8902087343256819,146,AT030,2024-11-21,seu protocolo e 123456 alguma outra duvida
4,Obrigado por aguardar. Já localizei sua solicitação.,0.7150854868870378,342,AT030,2024-11-04,obrigado por aguardar ja localizei sua solicitacao
8,Seu protocolo é 123456. Alguma outra dúvida?,0.8531850619301844,542,AT021,2024-11-18,seu protocolo e 123456 alguma outra duvida
10,Seu protocolo é 123456. Alguma outra dúvida?,0.9877179048089028,405,AT038,2024-11-03,seu protocolo e 123456 alguma outra duvida
13,Obrigado por aguardar. Já localizei sua solicitação.,0.7836030805450476,555,AT009,2024-11-14,obrigado por aguardar ja localizei sua solicitacao
19,Seu protocolo é 123456. Alguma outra dúvida?,0.7117864846356508,178,AT048,2024-11-07,seu protocolo e 123456 alguma outra duvida
22,Obrigado por aguardar. Já localizei sua solicitação.,0.9318313635155222,318,AT050,2024-11-09,obrigado por aguardar ja localizei sua solicitacao
24,Seu protocolo é 123456. Alguma outra dúvida?,0.7372864439338663,129,AT024,2024-11-14,seu protocolo e 123456 alguma outra duvida
27,Seu protocolo é 123456. Alguma outra dúvida?,0.8070712425689527,558,AT012,2024-11-17,seu protocolo e 123456 alguma outra duvida
45,Obrigado por aguardar. Já localizei sua solicitação.,0.8163179204770724,547,AT044,2024-11-13,obrigado por aguardar ja localizei sua solicitacao
48,Seu protocolo é 123456. Alguma outra dúvida?,0.6074996216487704,521,AT026,2024-11-12,seu protocolo e 123456 alguma outra duvida
50,Obrigado por aguardar. Já localizei sua solicitação.,0.6375946928643407,84,AT033,2024-11-15,obrigado por aguardar ja localizei sua solicitacao
51,Seu protocolo é 123456. Alguma outra dúvida?,0.6322814467496025,456,AT029,2024-11-16,seu protocolo e 123456 alguma outra duvida
54,Obrigado por aguardar. Já localizei sua solicitação.,0.8169387397390874,179,AT008,2024-11-21,obrigado por aguardar ja localizei sua solicitacao
61,Seu protocolo é 123456. Alguma outra dúvida?,0.7858113722075426,285,AT039,2024-11-05,seu protocolo e 123456 alguma outra duvida
62,Seu protocolo é 123456. Alguma outra dúvida?,0.782386239477901,254,AT013,2024-11-28,seu protocolo e 123456 alguma outra duvida
67,Seu protocolo é 123456. Alguma outra dúvida?,0.7788696973612284,453,AT047,2024-11-03,seu protocolo e 123456 alguma outra duvida
69,Obrigado por aguardar. Já localizei sua solicitação.,0.984721126483771,219,AT037,2024-11-16,obrigado por aguardar ja localizei sua solicitacao
73,Obrigado por aguardar. Já localizei sua solicitação.,0.8225998560364117,193,AT043,2024-11-25,obrigado por aguardar ja localizei sua solicitacao
75,Seu protocolo é 123456. Alguma outra dúvida?,0.7569046390292951,311,AT026,2024-11-20,seu protocolo e 123456 alguma outra duvida
80,Obrigado por aguardar. Já localizei sua solicitação.,0.9415839012240534,203,AT028,2024-11-15,obrigado por aguardar ja localizei sua solicitacao
82,Seu protocolo é 123456. Alguma outra dúvida?,0.7011401383606704,556,AT019,2024-11-16,seu protocolo e 123456 alguma outra duvida
83,Obrigado por aguardar. Já localizei sua solicitação.,0.8535120146402795,86,AT021,2024-11-05,obrigado por aguardar ja localizei sua solicitacao
85,Obrigado por aguardar. Já localizei sua solicitação.,0.649804108773715,173,AT043,2024-11-16,obrigado por aguardar ja localizei sua solicitacao
86,Obrigado por aguardar. Já localizei sua solicitação.,0.8628264202872313,175,AT049,2024-11-05,obrigado por aguardar ja localizei sua solicitacao
87,Seu protocolo é 123456. Alguma outra dúvida?,0.811654602530715,527,AT034,2024-11-29,seu protocolo e 123456 alguma outra duvida
88,Seu protocolo é 123456. Alguma outra dúvida?,0.6964710204377543,521,AT013,2024-11-17,seu protocolo e 123456 alguma outra duvida
93,Obrigado por aguardar. Já localizei sua solicitação.,0.9381936363375156,273,AT028,2024-11-29,obrigado por aguardar ja localizei sua solicitacao
95,Obrigado por aguardar. Já localizei sua solicitação.,0.8614807997495435,42,AT048,2024-11-22,obrigado por aguardar ja localizei sua solicitacao
96,Obrigado por aguardar. Já localizei sua solicitação.,0.6391126500221379,410,AT032,2024-11-09,obrigado por aguardar ja localizei sua solicitacao
99,Obrigado por aguardar. Já localizei sua solicitação.,0.7029061764753521,152,AT050,2024-11-21,obrigado por aguardar ja localizei sua solicitacao
101,Obrigado por aguardar. Já localizei sua solicitação.,0.9262631108687897,190,AT038,2024-11-03,obrigado por aguardar ja localizei sua solicitacao
103,Obrigado por aguardar. Já localizei sua solicitação.,0.6299289997380064,173,AT023,2024-11-01,obrigado por aguardar ja localizei sua solicitacao
104,Seu protocolo é 123456. Alguma outra dúvida?,0.7550863121961355,102,AT020,2024-11-10,seu protocolo e 123456 alguma outra duvida
105,Seu protocolo é 123456. Alguma outra dúvida?,0.6243538044859636,317,AT015,2024-11-15,seu protocolo e 123456 alguma outra duvida
106,Obrigado por aguardar. Já localizei sua solicitação.,0.8331385698162415,176,AT020,2024-11-07,obrigado por aguardar ja localizei sua solicitacao
108,Seu protocolo é 123456. Alguma outra dúvida?,0.7896558559650904,544,AT029,2024-11-19,seu protocolo e 123456 alguma outra duvida
109,Obrigado por aguardar. Já localizei sua solicitação.,0.9384275755503526,595,AT035,2024-11-26,obrigado por aguardar ja localizei sua solicitacao
110,Obrigado por aguardar. Já localizei sua solicitação.,0.7994407463578008,547,AT042,2024-11-08,obrigado por aguardar ja localizei sua solicitacao
114,Seu protocolo é 123456. Alguma outra dúvida?,0.7728141609699575,380,AT047,2024-11-04,seu protocolo e 123456 alguma outra duvida
117,Obrigado por aguardar. Já localizei sua solicitação.,0.9403741327712282,114,AT049,2024-11-16,obrigado por aguardar ja localizei sua solicitacao
124,Obrigado por aguardar. Já localizei sua solicitação.,0.6263935138001708,324,AT016,2024-11-03,obrigado por aguardar ja localizei sua solicitacao
127,Seu protocolo é 123456. Alguma outra dúvida?,0.6729838654350255,396,AT010,2024-11-06,seu protocolo e 123456 alguma outra duvida
129,Obrigado por aguardar. Já localizei sua solicitação.,0.84009177791861,324,AT008,2024-11-01,obrigado por aguardar ja localizei sua solicitacao
136,Obrigado por aguardar. Já localizei sua solicitação.,0.985792231850872,521,AT009,2024-11-01,obrigado por aguardar ja localizei sua solicitacao
137,Seu protocolo é 123456. Alguma outra dúvida?,0.7518346025083248,105,AT030,2024-11-02,seu protocolo e 123456 alguma outra duvida
138,Obrigado por aguardar. Já localizei sua solicitação.,0.7031418144352405,354,AT028,2024-11-03,obrigado por aguardar ja localizei sua solicitacao
140,Obrigado por aguardar. Já localizei sua solicitação.,0.8723653976235957,396,AT014,2024-11-04,obrigado por aguardar ja localizei sua solicitacao
144,Obrigado por aguardar. Já localizei sua solicitação.,0.7035668589213818,341,AT028,2024-11-27,obrigado por aguardar ja localizei sua solicitacao
145,Seu protocolo é 123456. Alguma outra dúvida?,0.7632829199251088,365,AT041,2024-11-17,seu protocolo e 123456 alguma outra duvida
146,Obrigado por aguardar. Já localizei sua solicitação.,0.8253150497628667,143,AT040,2024-11-02,obrigado por aguardar ja localizei sua solicitacao
147,Obrigado por aguardar. Já localizei sua solicitação.,0.6502801043919739,294,AT004,2024-11-25,obrigado por aguardar ja localizei sua solicitacao
148,Obrigado por aguardar. Já localizei sua solicitação.,0.9095311396734356,559,AT035,2024-11-19,obrigado por aguardar ja localizei sua solicitacao
152,Seu protocolo é 123456. Alguma outra dúvida?,0.8403865577776592,176,AT050,2024-11-10,seu protocolo e 123456 alguma outra duvida
153,Obrigado por aguardar. Já localizei sua solicitação.,0.7314720864226362,567,AT041,2024-11-04,obrigado por aguardar ja localizei sua solicitacao
157,Obrigado por aguardar. Já localizei sua solicitação.,0.6211503104053989,371,AT036,2024-11-26,obrigado por aguardar ja localizei sua solicitacao
159,Seu protocolo é 123456. Alguma outra dúvida?,0.9552428406416044,146,AT005,2024-11-07,seu protocolo e 123456 alguma outra duvida
166,Obrigado por aguardar. Já localizei sua solicitação.,0.7189529216658084,295,AT008,2024-11-22,obrigado por aguardar ja localizei sua solicitacao
170,Obrigado por aguardar. Já localizei sua solicitação.,0.8752313503091896,367,AT035,2024-11-22,obrigado por aguardar ja localizei sua solicitacao
171,Seu protocolo é 123456. Alguma outra dúvida?,0.6279006968299278,238,AT016,2024-11-03,seu protocolo e 123456 alguma outra duvida
173,Seu protocolo é 123456. Alguma outra dúvida?,0.7807725520222382,493,AT020,2024-11-01,seu protocolo e 123456 alguma outra duvida
175,Obrigado por aguardar. Já localizei sua solicitação.,0.7042155005557755,451,AT040,2024-11-30,obrigado por aguardar ja localizei sua solicitacao
