id,transcricao,confidence,duracao_segundos,atendente_id,data
1,"Bom dia, como posso ajudar?",0.9104683137055096,175,AT027,2024-11-19
2,Obrigado por aguardar. Já localizei sua solicitação.,0.941696860529069,508,AT034,2024-11-13
3,Seu protocolo é 123456. Alguma outra dúvida?,0.8902087343256819,146,AT030,2024-11-21
4,Obrigado por aguardar. Já localizei sua solicitação.,0.7150854868870378,342,AT030,2024-11-04
5,"Bom dia, como posso ajudar?",0.7388140449398947,139,AT044,2024-11-12
6,"Claro, vou verificar isso para você imediatamente.",0.8987054763300246,581,AT041,2024-11-16
7,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9737497466594468,108,AT013,2024-11-14
8,Seu protocolo é 123456. Alguma outra dúvida?,0.8531850619301844,542,AT021,2024-11-18
9,"Bom dia, como posso ajudar?",0.6647278994489824,72,AT019,2024-11-01
10,Seu protocolo é 123456. Alguma outra dúvida?,0.9877179048089028,405,AT038,2024-11-03
11,"Bom dia, como posso ajudar?",0.7898513962164421,102,AT003,2024-11-21
12,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9536372982561452,135,AT023,2024-11-04
13,Obrigado por aguardar. Já localizei sua solicitação.,0.7836030805450476,555,AT009,2024-11-14
14,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6860677876398971,68,AT019,2024-11-04
15,"Bom dia, como posso ajudar?",0.7088478215776929,467,AT044,2024-11-01
16,"Bom dia, como posso ajudar?",0.7057240716667678,457,AT034,2024-11-08
17,Não tenho tempo para esse tipo de atendimento.,0.8992039623457131,141,AT020,2024-11-05
18,"Claro, vou verificar isso para você imediatamente.",0.9155342481571876,45,AT007,2024-11-10
19,Seu protocolo é 123456. Alguma outra dúvida?,0.7117864846356508,178,AT048,2024-11-07
20,"Bom dia, como posso ajudar?",0.751650220032069,542,AT025,2024-11-21
21,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6892597368966623,408,AT025,2024-11-17
22,Obrigado por aguardar. Já localizei sua solicitação.,0.9318313635155222,318,AT050,2024-11-09
23,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.766987640758982,320,AT016,2024-11-08
24,Seu protocolo é 123456. Alguma outra dúvida?,0.7372864439338663,129,AT024,2024-11-14
25,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8352177728129249,226,AT033,2024-11-27
26,"Claro, vou verificar isso para você imediatamente.",0.7924024676370297,460,AT025,2024-11-10
27,Seu protocolo é 123456. Alguma outra dúvida?,0.8070712425689527,558,AT012,2024-11-17
28,"Bom dia, como posso ajudar?",0.866306930751712,459,AT028,2024-11-29
29,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8755440618620765,110,AT023,2024-11-17
30,"Claro, vou verificar isso para você imediatamente.",0.6825863838968008,555,AT043,2024-11-13
31,"Bom dia, como posso ajudar?",0.87009157746751,321,AT020,2024-11-30
32,"Claro, vou verificar isso para você imediatamente.",0.724133484669064,400,AT004,2024-11-17
33,"Bom dia, como posso ajudar?",0.7136115935371105,100,AT037,2024-11-27
34,Esse tipo de gente sempre reclama.,0.8698706046875322,246,AT019,2024-11-15
35,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8044444250355021,419,AT018,2024-11-07
36,"Claro, vou verificar isso para você imediatamente.",0.7068458187932849,162,AT036,2024-11-28
37,"Bom dia, como posso ajudar?",0.9466990604645812,184,AT020,2024-11-29
38,"Bom dia, como posso ajudar?",0.7072689145446963,396,AT027,2024-11-26
39,"Claro, vou verificar isso para você imediatamente.",0.608153977066293,30,AT029,2024-11-21
40,Esse tipo de gente sempre reclama.,0.8281921957450161,206,AT003,2024-11-16
41,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6240794387172027,512,AT038,2024-11-07
42,"Bom dia, como posso ajudar?",0.8404911729075698,132,AT044,2024-11-29
43,"Claro, vou verificar isso para você imediatamente.",0.9838614337425358,185,AT002,2024-11-16
44,"Claro, vou verificar isso para você imediatamente.",0.6476536913906059,386,AT047,2024-11-19
45,Obrigado por aguardar. Já localizei sua solicitação.,0.8163179204770724,547,AT044,2024-11-13
46,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8507317940712465,437,AT017,2024-11-27
47,"Bom dia, como posso ajudar?",0.7314121357535963,465,AT032,2024-11-03
48,Seu protocolo é 123456. Alguma outra dúvida?,0.6074996216487704,521,AT026,2024-11-12
49,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8213260279082508,67,AT022,2024-11-04
50,Obrigado por aguardar. Já localizei sua solicitação.,0.6375946928643407,84,AT033,2024-11-15
51,Seu protocolo é 123456. Alguma outra dúvida?,0.6322814467496025,456,AT029,2024-11-16
52,"Claro, vou verificar isso para você imediatamente.",0.664191015219568,209,AT032,2024-11-01
53,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8540815432929343,352,AT032,2024-11-02
54,Obrigado por aguardar. Já localizei sua solicitação.,0.8169387397390874,179,AT008,2024-11-21
55,"Bom dia, como posso ajudar?",0.7058071113686533,454,AT011,2024-11-21
56,"Bom dia, como posso ajudar?",0.6161806868082887,80,AT026,2024-11-27
57,"Bom dia, como posso ajudar?",0.7632062253477083,187,AT020,2024-11-06
58,"Bom dia, como posso ajudar?",0.6431828495622398,534,AT046,2024-11-28
59,"Vocês são todos iguais, sempre reclamando.",0.854601935654826,530,AT043,2024-11-09
60,"Vocês são todos iguais, sempre reclamando.",0.8981293343406944,570,AT009,2024-11-09
61,Seu protocolo é 123456. Alguma outra dúvida?,0.7858113722075426,285,AT039,2024-11-05
62,Seu protocolo é 123456. Alguma outra dúvida?,0.782386239477901,254,AT013,2024-11-28
63,"Bom dia, como posso ajudar?",0.7752616634014787,309,AT041,2024-11-01
64,"Bom dia, como posso ajudar?",0.6277611893379501,390,AT014,2024-11-05
65,"Claro, vou verificar isso para você imediatamente.",0.6026045825700899,578,AT049,2024-11-26
66,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6292390629374405,36,AT037,2024-11-22
67,Seu protocolo é 123456. Alguma outra dúvida?,0.7788696973612284,453,AT047,2024-11-03
68,"Claro, vou verificar isso para você imediatamente.",0.8671002701452195,237,AT029,2024-11-23
69,Obrigado por aguardar. Já localizei sua solicitação.,0.984721126483771,219,AT037,2024-11-16
70,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.788413847549195,183,AT017,2024-11-05
71,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8653740638532386,263,AT049,2024-11-03
72,Para de fazer escândalo e me deixa trabalhar.,0.8825636623605019,78,AT045,2024-11-13
73,Obrigado por aguardar. Já localizei sua solicitação.,0.8225998560364117,193,AT043,2024-11-25
74,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.9424505325695262,208,AT012,2024-11-27
75,Seu protocolo é 123456. Alguma outra dúvida?,0.7569046390292951,311,AT026,2024-11-20
76,"Claro, vou verificar isso para você imediatamente.",0.6541906522184635,442,AT007,2024-11-07
77,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6211109880140023,106,AT043,2024-11-04
78,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.826464610991998,278,AT048,2024-11-07
79,"Claro, vou verificar isso para você imediatamente.",0.7028930573892818,544,AT044,2024-11-26
80,Obrigado por aguardar. Já localizei sua solicitação.,0.9415839012240534,203,AT028,2024-11-15
81,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6541966681460064,338,AT046,2024-11-27
82,Seu protocolo é 123456. Alguma outra dúvida?,0.7011401383606704,556,AT019,2024-11-16
83,Obrigado por aguardar. Já localizei sua solicitação.,0.8535120146402795,86,AT021,2024-11-05
84,"Bom dia, como posso ajudar?",0.9519023190644276,290,AT007,2024-11-08
85,Obrigado por aguardar. Já localizei sua solicitação.,0.649804108773715,173,AT043,2024-11-16
86,Obrigado por aguardar. Já localizei sua solicitação.,0.8628264202872313,175,AT049,2024-11-05
87,Seu protocolo é 123456. Alguma outra dúvida?,0.811654602530715,527,AT034,2024-11-29
88,Seu protocolo é 123456. Alguma outra dúvida?,0.6964710204377543,521,AT013,2024-11-17
89,"Bom dia, como posso ajudar?",0.8781505163305703,125,AT028,2024-11-08
90,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.76305681551334,376,AT002,2024-11-05
91,"Bom dia, como posso ajudar?",0.6619775373334298,172,AT009,2024-11-13
92,"Claro, vou verificar isso para você imediatamente.",0.707274047955204,337,AT024,2024-11-01
93,Obrigado por aguardar. Já localizei sua solicitação.,0.9381936363375156,273,AT028,2024-11-29
94,"Bom dia, como posso ajudar?",0.9214565861365064,250,AT045,2024-11-09
95,Obrigado por aguardar. Já localizei sua solicitação.,0.8614807997495435,42,AT048,2024-11-22
96,Obrigado por aguardar. Já localizei sua solicitação.,0.6391126500221379,410,AT032,2024-11-09
97,"Bom dia, como posso ajudar?",0.7358991081962286,176,AT042,2024-11-08
98,"Claro, vou verificar isso para você imediatamente.",0.8319804337901153,179,AT009,2024-11-01
99,Obrigado por aguardar. Já localizei sua solicitação.,0.7029061764753521,152,AT050,2024-11-21
100,"Bom dia, como posso ajudar?",0.665919523812467,386,AT025,2024-11-14
101,Obrigado por aguardar. Já localizei sua solicitação.,0.9262631108687897,190,AT038,2024-11-03
102,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.8106370514529884,455,AT022,2024-11-28
103,Obrigado por aguardar. Já localizei sua solicitação.,0.6299289997380064,173,AT023,2024-11-01
104,Seu protocolo é 123456. Alguma outra dúvida?,0.7550863121961355,102,AT020,2024-11-10
105,Seu protocolo é 123456. Alguma outra dúvida?,0.6243538044859636,317,AT015,2024-11-15
106,Obrigado por aguardar. Já localizei sua solicitação.,0.8331385698162415,176,AT020,2024-11-07
107,"Bom dia, como posso ajudar?",0.9175860568181052,169,AT033,2024-11-28
108,Seu protocolo é 123456. Alguma outra dúvida?,0.7896558559650904,544,AT029,2024-11-19
109,Obrigado por aguardar. Já localizei sua solicitação.,0.9384275755503526,595,AT035,2024-11-26
110,Obrigado por aguardar. Já localizei sua solicitação.,0.7994407463578008,547,AT042,2024-11-08
111,"Claro, vou verificar isso para você imediatamente.",0.6484839218302874,568,AT028,2024-11-13
112,"Bom dia, como posso ajudar?",0.9798420070090734,376,AT022,2024-11-13
113,Fico feliz em poder ajudar. Tenha um ótimo dia!,0.6177274323228252,457,AT048,2024-11-20
114,Seu protocolo é 123456. Alguma outra dúvida?,0.7728141609699575,380,AT047,2024-11-04
